"ano_q","ibge_id_q","municipio","dependencia_id_q","ciclo_id_q","nota_mt_q","nota_lp_q","ideb_q","aprovacao_q","abandono_q","see","idh_municipal","idh_renda","idh_longevidade","idh_educacao","infra","see_idh_educacao"
"2023","5100201","Água Boa","Municipal","AI",5.60571068654209,7.87579957356077,6.4,100,0,0,0.729,0.723,0.829,0.646,3,0
"2023","5100201","Água Boa","Municipal","AF",5.56862572983931,6.24882633099114,6.4,100,0,0,0.729,0.723,0.829,0.646,6,0
"2015","5100250","Alta Floresta","Estadual","AI",4.49814126394052,5.45148169668797,5.9,100,0,1,0.714,0.709,0.817,0.629,9,0.629
"2015","5100250","Alta Floresta","Estadual","AF",4.69154607768469,6.65615937460598,4.8,88.7,1.4,1,0.714,0.709,0.817,0.629,8,0.629
"2015","5100250","Alta Floresta","Municipal","AI",3.92812887236679,5.07611853573504,5.7,99.8,0.2,0,0.714,0.709,0.817,0.629,5,0
"2015","5100250","Alta Floresta","Municipal","AF",4.16349327240416,6.55781112091792,4.6,86.4,0,0,0.714,0.709,0.817,0.629,4,0
"2017","5100250","Alta Floresta","Estadual","AI",4.18424566088117,5.48390546465619,6,99.7,0.133333333333333,1,0.714,0.709,0.817,0.629,8,0.629
"2017","5100250","Alta Floresta","Estadual","AF",4.81450094161959,6.25973709834469,5,93.6,1.4,1,0.714,0.709,0.817,0.629,6,0.629
"2017","5100250","Alta Floresta","Municipal","AI",3.086782376502,4.64977007806652,5.6,99.6,0,0,0.714,0.709,0.817,0.629,5,0
"2017","5100250","Alta Floresta","Municipal","AF",4.78719397363465,6.55793573515092,5,98.7,0,0,0.714,0.709,0.817,0.629,4,0
"2019","5100250","Alta Floresta","Estadual","AI",4.57314361938639,5.60629921259843,5.8,99.0666666666667,0,1,0.714,0.709,0.817,0.629,10,0.629
"2019","5100250","Alta Floresta","Estadual","AF",6.25467341104025,6.06150928058529,4.9,94.2,1.2,1,0.714,0.709,0.817,0.629,9,0.629
"2019","5100250","Alta Floresta","Municipal","AI",4.01622943530458,5.33408323959505,5.7,100,0,0,0.714,0.709,0.817,0.629,4,0
"2019","5100250","Alta Floresta","Municipal","AF",5.46624147789751,5.92467145373256,4.9,94.6,0,0,0.714,0.709,0.817,0.629,5,0
"2021","5100250","Alta Floresta","Estadual","AI",6.04065604065604,6.95146499664505,5.9,99.8333333333333,0.166666666666667,1,0.714,0.709,0.817,0.629,6,0.629
"2021","5100250","Alta Floresta","Estadual","AF",5.81710853355426,5.41254538625266,5,98,0.2,1,0.714,0.709,0.817,0.629,7,0.629
"2021","5100250","Alta Floresta","Municipal","AI",4.07368907368907,5.09953030641915,5.3,100,0,0,0.714,0.709,0.817,0.629,3,0
"2021","5100250","Alta Floresta","Municipal","AF",5.49606462303231,5.53774884186803,5,100,0,0,0.714,0.709,0.817,0.629,7,0
"2023","5100250","Alta Floresta","Estadual","AI",3.99538106235566,4.35767590618337,5.6,99.7666666666667,0,1,0.714,0.709,0.817,0.629,5,0.629
"2023","5100250","Alta Floresta","Estadual","AF",6.05284486950884,6.47091566935709,5,98.8,0.8,1,0.714,0.709,0.817,0.629,6,0.629
"2023","5100250","Alta Floresta","Municipal","AI",4.59374343900903,6.04477611940298,6,100,0,0,0.714,0.709,0.817,0.629,4,0
"2023","5100250","Alta Floresta","Municipal","AF",5.28262968670847,6.15989266231279,6,100,0,0,0.714,0.709,0.817,0.629,4,0
"2015","5100300","Alto Araguaia","Estadual","AI",5.32499718373325,6.04997094712377,6.2,100,0,1,0.704,0.712,0.802,0.612,7,0.612
"2015","5100300","Alto Araguaia","Estadual","AF",5.4023863924854,6.60824612280923,4.7,82.6,3.6,1,0.704,0.712,0.802,0.612,9,0.612
"2015","5100300","Alto Araguaia","Municipal","AI",5.59535879238481,5.61417780360256,6.1,100,0,0,0.704,0.712,0.802,0.612,5,0
"2015","5100300","Alto Araguaia","Municipal","AF",1.32394008631632,4.97036943638885,4.3,100,0,0,0.704,0.712,0.802,0.612,5,0
"2017","5100300","Alto Araguaia","Estadual","AI",3.98397863818425,4.85616511603037,5.6,97.1666666666667,0.7,1,0.704,0.712,0.802,0.612,7,0.612
"2017","5100300","Alto Araguaia","Estadual","AF",5.32203389830508,6.33033106134372,4.8,82.2,4.4,1,0.704,0.712,0.802,0.612,9,0.612
"2017","5100300","Alto Araguaia","Municipal","AI",4.62483311081442,6.19398994759919,6.3,100,0,0,0.704,0.712,0.802,0.612,6,0
"2017","5100300","Alto Araguaia","Municipal","AF",4.19209039548023,5.8118305744888,4.8,98,0,0,0.704,0.712,0.802,0.612,3,0
"2019","5100300","Alto Araguaia","Estadual","AI",5.99599822143175,7.570303712036,6.2,100,0,1,0.704,0.712,0.802,0.612,9,0.612
"2019","5100300","Alto Araguaia","Estadual","AF",6.40422256432813,6.66711827665628,4.8,87.7,2,1,0.704,0.712,0.802,0.612,10,0.612
"2019","5100300","Alto Araguaia","Municipal","AI",7.69230769230769,7.89426321709786,6.6,98.0666666666667,0.466666666666667,0,0.704,0.712,0.802,0.612,4,0
"2019","5100300","Alto Araguaia","Municipal","AF",6.86826478997141,6.28505622544371,5.1,100,0,0,0.704,0.712,0.802,0.612,6,0
"2021","5100300","Alto Araguaia","Estadual","AI",5.27258027258027,6.79378215164393,5.7,100,0,1,0.704,0.712,0.802,0.612,7,0.612
"2021","5100300","Alto Araguaia","Estadual","AF",6.06980115990058,6.76849881056717,5.1,93.9,0.6,1,0.704,0.712,0.802,0.612,10,0.612
"2021","5100300","Alto Araguaia","Municipal","AI",5.93670593670594,7.02974726012078,5.9,100,0,0,0.704,0.712,0.802,0.612,7,0
"2021","5100300","Alto Araguaia","Municipal","AF",5.19958499473557,6.19503658760639,5.9,100,0,0,0.704,0.712,0.802,0.612,7,0
"2023","5100300","Alto Araguaia","Estadual","AI",4.79634684022675,5.21588486140725,5.9,100,0,1,0.704,0.712,0.802,0.612,7,0.612
"2023","5100300","Alto Araguaia","Estadual","AF",6.01394067109742,6.11884219315335,5,98.6,0,1,0.704,0.712,0.802,0.612,8,0.612
"2023","5100300","Alto Araguaia","Municipal","AI",5.45664497165652,7.21348614072495,6.3,99.1666666666667,0,0,0.704,0.712,0.802,0.612,5,0
"2023","5100300","Alto Araguaia","Municipal","AF",5.19958499473557,6.19503658760639,6.3,99.1666666666667,0,0,0.704,0.712,0.802,0.612,3,0
"2015","5100359","Alto Boa Vista","Estadual","AI",2.26991100597049,4.23126089482859,5.3,100,0,1,0.651,0.613,0.803,0.561,5,0.561
"2015","5100359","Alto Boa Vista","Estadual","AF",5.98375222137598,6.71794225192284,4.7,73.9,17.4,1,0.651,0.613,0.803,0.561,6,0.561
"2015","5100359","Alto Boa Vista","Municipal","AI",1.40362735158274,2.23358512492737,4.9,98.3,1.7,0,0.651,0.613,0.803,0.561,6,0
"2015","5100359","Alto Boa Vista","Municipal","AF",5.94567149022595,6.83016013113101,5,92.7,7.3,0,0.651,0.613,0.803,0.561,5,0
"2017","5100359","Alto Boa Vista","Estadual","AI",5.70538495772141,6.34370655544861,6.5,100,0,1,0.651,0.613,0.803,0.561,6,0.561
"2017","5100359","Alto Boa Vista","Estadual","AF",1.82015065913371,4.19182083739046,4.1,95.8,4.2,1,0.651,0.613,0.803,0.561,6,0.561
"2017","5100359","Alto Boa Vista","Municipal","AI",2.84232481674732,4.02294246155451,4.1,100,0,0,0.651,0.613,0.803,0.561,5,0
"2017","5100359","Alto Boa Vista","Municipal","AF",4.8205675761677,5.67770463302521,4.1,95.8,4.2,0,0.651,0.613,0.803,0.561,6,0
"2019","5100359","Alto Boa Vista","Estadual","AI",1.96754112939084,3.58267716535433,5.1,100,0,1,0.651,0.613,0.803,0.561,5,0.561
"2019","5100359","Alto Boa Vista","Estadual","AF",5.73125137453266,6.82698821297927,4.5,92.6,3.7,1,0.651,0.613,0.803,0.561,9,0.561
"2019","5100359","Alto Boa Vista","Municipal","AI",3.24366385060027,4.39595050618673,5.4,95.1,0,0,0.651,0.613,0.803,0.561,5,0
"2019","5100359","Alto Boa Vista","Municipal","AF",4.03782713877282,3.83552364178296,4.5,98.1,0,0,0.651,0.613,0.803,0.561,5,0
"2021","5100359","Alto Boa Vista","Estadual","AI",4.12450912450912,5.57481547752181,5.4,100,0,1,0.651,0.613,0.803,0.561,6,0.561
"2021","5100359","Alto Boa Vista","Estadual","AF",4.8205675761677,5.67770463302521,5.4,84.6,15.4,1,0.651,0.613,0.803,0.561,7,0.561
"2021","5100359","Alto Boa Vista","Municipal","AI",1.47262647262647,3.21069112055469,4.5,100,0,0,0.651,0.613,0.803,0.561,4,0
"2021","5100359","Alto Boa Vista","Municipal","AF",4.8205675761677,5.67770463302521,4.5,95.2,0,0,0.651,0.613,0.803,0.561,5,0
"2023","5100359","Alto Boa Vista","Estadual","AI",2.27062775561621,2.64259061833689,5.1,100,0,1,0.651,0.613,0.803,0.561,6,0.561
"2023","5100359","Alto Boa Vista","Estadual","AF",6.40622467174583,6.664347342054,5,100,0,1,0.651,0.613,0.803,0.561,8,0.561
"2023","5100359","Alto Boa Vista","Municipal","AI",3.12303170270838,3.99120469083156,5.4,100,0,0,0.651,0.613,0.803,0.561,7,0
"2023","5100359","Alto Boa Vista","Municipal","AF",3.81909547738694,4.67715001391595,4.6,98.2,1.8,0,0.651,0.613,0.803,0.561,4,0
"2015","5100409","Alto Garças","Estadual","AI",4.16582178663963,6.18245206275421,6,100,0,1,0.701,0.707,0.835,0.583,8,0.583
"2015","5100409","Alto Garças","Estadual","AF",3.37395277989337,5.25028369688564,4.2,73.3,0,1,0.701,0.707,0.835,0.583,10,0.583
"2015","5100409","Alto Garças","Municipal","AI",3.88194209755548,6.33701336432307,5.3,97.3,1.3,0,0.701,0.707,0.835,0.583,6,0
"2015","5100409","Alto Garças","Municipal","AF",5.02558600204532,5.15548743477398,5.3,100,0,0,0.701,0.707,0.835,0.583,6,0
"2017","5100409","Alto Garças","Estadual","AI",4.03916332888295,6.30093038177735,6.2,100,0,1,0.701,0.707,0.835,0.583,5,0.583
"2017","5100409","Alto Garças","Estadual","AF",4.08568738229755,5.85686465433301,4.7,84.9,0,1,0.701,0.707,0.835,0.583,5,0.583
"2017","5100409","Alto Garças","Municipal","AI",3.82020471740098,6.88375574804834,5.6,96.4,0,0,0.701,0.707,0.835,0.583,3,0
"2017","5100409","Alto Garças","Municipal","AF",5.02558600204532,5.15548743477398,5.6,100,0,0,0.701,0.707,0.835,0.583,6,0
"2019","5100409","Alto Garças","Estadual","AI",3.95842596709649,4.67941507311586,5.5,97,0,1,0.701,0.707,0.835,0.583,8,0.583
"2019","5100409","Alto Garças","Estadual","AF",4.87244336925445,5.1185476222734,4.5,91.8,0,1,0.701,0.707,0.835,0.583,9,0.583
"2019","5100409","Alto Garças","Municipal","AI",4.67207647843486,6.50168728908886,5.4,95.3,0,0,0.701,0.707,0.835,0.583,4,0
"2019","5100409","Alto Garças","Municipal","AF",8.7552232241038,6.35279772388565,5.5,100,0,0,0.701,0.707,0.835,0.583,4,0
"2021","5100409","Alto Garças","Estadual","AI",5.57172557172557,7.19525833146947,5.9,100,0,1,0.701,0.707,0.835,0.583,6,0.583
"2021","5100409","Alto Garças","Estadual","AF",4.99585749792875,3.9389007136597,4.7,96,0,1,0.701,0.707,0.835,0.583,8,0.583
"2021","5100409","Alto Garças","Municipal","AI",6.21275121275121,6.99284276448222,5.9,100,0,0,0.701,0.707,0.835,0.583,5,0
"2021","5100409","Alto Garças","Municipal","AF",5.02558600204532,5.15548743477398,5.9,100,0,0,0.701,0.707,0.835,0.583,5,0
"2023","5100409","Alto Garças","Estadual","AI",4.4358647784403,6.25983854585711,5.9,100,0,1,0.701,0.707,0.835,0.583,5,0.583
"2023","5100409","Alto Garças","Estadual","AF",4.07035175879397,4.41553019760646,4.5,96.4,1.4,1,0.701,0.707,0.835,0.583,9,0.583
"2023","5100409","Alto Garças","Municipal","AI",3.60067184547554,5.26519189765458,5.5,95.9,0,0,0.701,0.707,0.835,0.583,3,0
"2023","5100409","Alto Garças","Municipal","AF",5.02558600204532,5.15548743477398,5.5,95.9,0,0,0.701,0.707,0.835,0.583,4,0
"2015","5100508","Alto Paraguai","Estadual","AI",1.0296271262814,1.66531086577571,4.6,97.7666666666667,0,1,0.638,0.612,0.784,0.541,9,0.541
"2015","5100508","Alto Paraguai","Estadual","AF",0.613099771515614,1.51431093178666,3.5,89.6,0,1,0.638,0.612,0.784,0.541,7,0.541
"2015","5100508","Alto Paraguai","Municipal","AI",1.66272389320716,2.26263800116211,5,100,0,0,0.638,0.612,0.784,0.541,3,0
"2015","5100508","Alto Paraguai","Municipal","AF",1.39461246732455,1.33242765630348,5,100,0,0,0.638,0.612,0.784,0.541,4,0
"2017","5100508","Alto Paraguai","Estadual","AI",0.210057854917667,0.290877980964603,4.3,98.3666666666667,1.63333333333333,1,0.638,0.612,0.784,0.541,9,0.541
"2017","5100508","Alto Paraguai","Estadual","AF",2.00470809792844,2.56450827653359,3.9,94.9,5.1,1,0.638,0.612,0.784,0.541,7,0.541
"2017","5100508","Alto Paraguai","Municipal","AI",1.5202492211838,3.16971446904075,5.1,100,0,0,0.638,0.612,0.784,0.541,7,0
"2017","5100508","Alto Paraguai","Municipal","AF",1.39461246732455,1.33242765630348,5.1,0,0,0,0.638,0.612,0.784,0.541,6,0
"2019","5100508","Alto Paraguai","Estadual","AI",1.17673838516336,2.06763449856998,5.1,100,0,1,0.638,0.612,0.784,0.541,9,0.541
